coreid,materialSampleID,sampleType,catalogNumber,sampleCondition,disposition,preservationType,preparationDetails,preparationDate,preparedBy,individualCount,sampleSize,storageLocation,remarks,recordID,concentration,concentrationMethod,ratioOfAbsorbance260_230,ratioOfAbsorbance260_280,volume,weight,weightMethod,purificationMethod,quality,qualityRemarks,qualityCheckDate,sieving,dnaHybridization,dnaMeltingPoint,estimatedSize,poolDnaExtracts,sampleDesignation
834846,,liver,D00000166919,good,"in collection","ethanol, 95%, stored at -80C",,2022-09-13,"Steger, Laura",,,,"genotyping sample",
834844,,"whole organism",D00000120680,good,"in collection","ethanol-fixed, stored in 75% ethanol","left kidney removed, most of liver removed for cryo preservation",2022-09-13,"Steger, Laura",,,,,
834844,,skull,D00000120680,good,"in collection",dry,,2022-10-24,"Yochheim, Jordyn",,,,"missing mandible",
834844,,kidney,D00000166348,good,consumed,"ethanol, 95%","kidney (left, whole)",2022-09-13,"Steger, Laura",,,,"consumed in research",
834844,,liver,D00000166926,good,"in collection","ethanol, 95%, stored at -196C",,2022-09-13,"Steger, Laura",,,,,
834844,,liver,D00000166917,good,"in collection","ethanol, 95%, stored at -80C",,2022-09-13,"Steger, Laura",,,,"genotyping sample",
834844,,baculum,D00000187665,unchecked,"in collection","ethanol, 95%",,2022-09-13,"Steger, Laura",,,,,
394246,,"skin, study",B00000000282,good,"in collection",dry,,2022-09-09,"Steger, Laura",,,,,
394246,,skull,B00000000282,,"being processed",dry,,2022-09-09,,,,,,
394246,,"post-cranial skeleton",B00000000282,,"being processed",dry,,2022-09-09,,,,,,
394246,,kidney,D00000167039,good,consumed,"ethanol, 95%","kidney (left, whole)",2022-09-09,"Steger, Laura",,,,"consumed in research",
394246,,"kidney, spleen",D00000167038,good,"in collection","ethanol, 95%, stored at -196C",,2022-09-09,"Steger, Laura",,,,"spleen enlarged",
394246,,"heart, lung",D00000167036,good,"in collection","ethanol, 95%, stored at -196C",,2022-09-09,"Steger, Laura",,,,,
394246,,liver,D00000166888,good,"in collection","ethanol, 95%, stored at -196C",,2022-09-09,"Steger, Laura",,,,,
394246,,liver,D00000166896,good,"in collection","ethanol, 95%, stored at -80C",,2022-09-09,"Steger, Laura",,,,"genotyping sample",
394246,,"gastrointestinal tract",C00000121253,good,"in collection","flash-frozen, stored at -80C","upper and lower GI tract",2022-09-09,"Steger, Laura",,,,,
394246,,baculum,D00000187666,unchecked,"in collection","ethanol, 95%",,2022-09-09,"Steger, Laura",,,,,
394245,,"skin, study",B00000000354,good,"in collection",dry,,2022-09-09,"Steger, Laura",,,,,
394245,,skull,B00000000354,good,"in collection",dry,,2022-10-24,"Yochheim, Jordyn",,,,"with post-cranial skeleton",
394245,,"post-cranial skeleton",B00000000354,unchecked,"in collection",dry,,2022-10-24,"Yochheim, Jordyn",,,,"damage to rib bones caused by dermestids during cleaning",
394245,,kidney,D00000167035,good,consumed,"ethanol, 95%","kidney (left, whole)",2022-09-09,"Steger, Laura",,,,"consumed in research",
394245,,"kidney, spleen",D00000167034,good,"in collection","ethanol, 95%, stored at -196C",,2022-09-09,"Steger, Laura",,,,,
394245,,"heart, lung",D00000166975,good,"in collection","ethanol, 95%, stored at -196C",,2022-09-09,"Steger, Laura",,,,,
394245,,liver,D00000166838,good,"in collection","ethanol, 95%, stored at -196C",,2022-09-09,"Steger, Laura",,,,,
394245,,"gastrointestinal tract",C00000121252,good,"in collection","flash-frozen, stored at -80C","upper and lower GI tract",2022-09-09,"Steger, Laura",,,,,
394245,,liver,D00000166880,good,"in collection","ethanol, 95%, stored at -80C",,2022-09-09,"Steger, Laura",,,,"genotyping sample",
834843,,"skin, study",D00000120682,good,"in collection",dry,,2022-09-14,"Steger, Laura",,,,,
834843,,kidney,D00000166357,good,consumed,"ethanol, 95%","kidney (left, whole)",2022-09-14,"Steger, Laura",,,,"consumed in research",
834843,,"kidney, spleen",D00000166984,good,"in collection","ethanol, 95%, stored at -196C",,2022-09-14,"Steger, Laura",,,,,
834843,,"heart, lung",D00000166960,good,"in collection","ethanol, 95%, stored at -196C",,2022-09-14,"Steger, Laura",,,,,
834843,,liver,D00000166909,good,"in collection","ethanol, 95%, stored at -196C",,2022-09-14,"Steger, Laura",,,,,
834843,,"gastrointestinal tract",C00000121251,good,"in collection","flash-frozen, stored at -80C","upper and lower GI tract",2022-09-14,"Steger, Laura",,,,,
834843,,liver,D00000166910,good,"in collection","ethanol, 95%, stored at -80C",,2022-09-14,"Steger, Laura",,,,"genotyping sample",
834843,,baculum,D00000187664,unchecked,"in collection","ethanol, 95%",,2022-09-14,"Steger, Laura",,,,,
394257,,"skin, study",A00000139087,good,"in collection",dry,,2022-09-14,"Steger, Laura",,,,,
394257,,skull,A00000139087,good,"in collection",dry,,2022-10-24,"Yochheim, Jordyn",,,,,
