coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,creator,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
288973,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000001907-2_1696868731_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000001907-2_1696868731_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000001907-2_1696868731_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000001907-2_1696868731.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Rosie Liao","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:192e8ecd-122f-49f6-a7c8-4a2fb30e562c,"2023-10-09 09:25:32",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=288973,StillImage,Photograph,en
288973,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000001907-3_1696868738_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000001907-3_1696868738_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000001907-3_1696868738_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000001907-3_1696868738.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Rosie Liao","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:c670008d-2367-478f-a741-ac839969653d,"2023-10-09 09:25:39",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=288973,StillImage,Photograph,en
288984,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000001581-1_1696868756_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000001581-1_1696868756_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000001581-1_1696868756_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000001581-1_1696868756.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Rosie Liao","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:d84c907e-f0b6-4207-8d4e-b366301dd95a,"2023-10-09 09:25:56",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=288984,StillImage,Photograph,en
288984,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000001581-2_1696868765_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000001581-2_1696868765_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000001581-2_1696868765_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000001581-2_1696868765.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Rosie Liao","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:09c3de7b-a536-4304-8230-c3f8bdead55e,"2023-10-09 09:26:05",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=288984,StillImage,Photograph,en
288984,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000001581-3_1696868771_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000001581-3_1696868771_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000001581-3_1696868771_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000001581-3_1696868771.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Rosie Liao","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:3b7db2f9-fc7d-45d8-9c6d-186156531c4b,"2023-10-09 09:26:12",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=288984,StillImage,Photograph,en
288985,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000030170-1_1696868788_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000030170-1_1696868788_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000030170-1_1696868788_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000030170-1_1696868788.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Rosie Liao","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:1efb6cc6-51ea-48d0-beb7-e78a00c4bfe3,"2023-10-09 09:26:28",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=288985,StillImage,Photograph,en
288985,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000030170-2_1696868795_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000030170-2_1696868795_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000030170-2_1696868795_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000030170-2_1696868795.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Rosie Liao","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:55ca5e1f-c27e-4e3a-bfbc-70770e1a600a,"2023-10-09 09:26:36",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=288985,StillImage,Photograph,en
288985,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000030170-3_1696868805_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000030170-3_1696868805_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000030170-3_1696868805_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000030170-3_1696868805.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Rosie Liao","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:343429b2-a04f-47fe-aeb3-1f0d99c16e29,"2023-10-09 09:26:45",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=288985,StillImage,Photograph,en
288967,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000030892-1_1702570813_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000030892-1_1702570813_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000030892-1_1702570813_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000030892-1_1702570813.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Rosie Liao","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:b33a7b43-dd75-4e6b-ad97-da5fee394425,"2023-12-14 09:20:13",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=288967,StillImage,Photograph,en
288967,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000030892-2_1702570827_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000030892-2_1702570827_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000030892-2_1702570827_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000030892-2_1702570827.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Rosie Liao","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:57296b5d-15d9-48c3-9762-aa5503afad5f,"2023-12-14 09:20:28",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=288967,StillImage,Photograph,en
288967,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000030892-4_1702570852_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000030892-4_1702570852_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000030892-4_1702570852_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/D00000030892-4_1702570852.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Rosie Liao","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:8627f0b2-f55d-436c-9d90-72105a7d4922,"2023-12-14 09:20:53",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=288967,StillImage,Photograph,en
1110875,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000085284-1_1705711799_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000085284-1_1705711799_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000085284-1_1705711799_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000085284-1_1705711799.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Laura Steger","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:b4effe1a-942f-4ce8-ae01-a337b055c6fe,"2024-01-19 17:50:00",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=1110875,StillImage,Photograph,en
1110875,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000085284-2_1705711809_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000085284-2_1705711809_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000085284-2_1705711809_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000085284-2_1705711809.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Laura Steger","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:2ec53001-cea7-4cec-b3e5-a9b52feac57c,"2024-01-19 17:50:10",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=1110875,StillImage,Photograph,en
1110875,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000085284-3_1705711819_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000085284-3_1705711819_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000085284-3_1705711819_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000085284-3_1705711819.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Laura Steger","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:e4555ca3-9ee5-420f-94bd-9b37b8ed84f2,"2024-01-19 17:50:19",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=1110875,StillImage,Photograph,en
1110876,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000085291-1_1705711859_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000085291-1_1705711859_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000085291-1_1705711859_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000085291-1_1705711859.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Laura Steger","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:9aeec03f-12e1-4f45-9d7e-a0ef0a219c7b,"2024-01-19 17:51:00",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=1110876,StillImage,Photograph,en
1110876,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000085291-2_1705711871_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000085291-2_1705711871_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000085291-2_1705711871_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000085291-2_1705711871.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Laura Steger","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:4917bcf4-2234-4e54-8746-ec3a1140e974,"2024-01-19 17:51:12",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=1110876,StillImage,Photograph,en
1110876,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000085291-3_1705711882_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000085291-3_1705711882_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000085291-3_1705711882_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000085291-3_1705711882.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Laura Steger","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:92598f3b-6e78-4e1a-a345-6560b4c82e9b,"2024-01-19 17:51:22",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=1110876,StillImage,Photograph,en
1110877,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000085297-1_1705711997_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000085297-1_1705711997_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000085297-1_1705711997_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_MAMC-VSS/00000/B00000085297-1_1705711997.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"Mammal Collection (Vouchers [Standard Sampling]) (NEON-MAMC-VSS)","Laura Steger","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:6f46376f-667e-4b6a-b10a-858e02622bbf,"2024-01-19 17:53:17",image/jpeg,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=1110877,StillImage,Photograph,en
